database_name,table_name,Column Description,Column Name,Column Type,Constraint,Default Value,Index,Nullable
i2oretail_dev,basic_standard,,platform,text,,,No,Yes
i2oretail_dev,basic_standard,,updated_at,timestamptz,,now(),No,Yes
i2oretail_dev,basic_standard,,org_id,int4(32),,,No,Yes
i2oretail_dev,basic_standard,,searchkeywords,text,,,No,Yes
i2oretail_dev,basic_standard,,boxtitle,text,,,No,Yes
i2oretail_dev,basic_standard,,category_name,text,,,No,Yes
i2oretail_dev,bp_wbr_execution_details,,org_id,int4(32),"FOREIGN KEY, PRIMARY KEY",,Yes,No
i2oretail_dev,bp_wbr_execution_details,,period,date,PRIMARY KEY,,Yes,No
i2oretail_dev,bp_wbr_execution_details,,org_name,varchar(250),,,No,No
i2oretail_dev,bp_wbr_execution_details,,start_time,timestamptz,,,No,Yes
i2oretail_dev,bp_wbr_execution_details,,end_time,timestamptz,,,No,Yes
i2oretail_dev,bp_wbr_execution_details,,schedule_status,varchar(250),,,No,Yes
i2oretail_dev,bp_wbr_execution_details,,gcs_location,varchar(250),,,No,Yes
i2oretail_dev,bp_wbr_execution_details,,comments,varchar(250),,,No,Yes
i2oretail_dev,brand_master,,id,int4(32),PRIMARY KEY,nextval('i2oretail_dev.brand_master_id_seq'::regclass),Yes,No
i2oretail_dev,brand_master,,created_by,varchar(255),,,No,Yes
i2oretail_dev,brand_master,,created_on,timestamp,,,No,Yes
i2oretail_dev,brand_master,,last_modified_by,varchar(255),,,No,Yes
i2oretail_dev,brand_master,,last_modified_on,timestamp,,,No,Yes
i2oretail_dev,brand_master,,brand,varchar(255),,,No,Yes
i2oretail_dev,brand_master,,brand_alias,int4(32),FOREIGN KEY,,No,Yes
i2oretail_dev,brand_master,,org_id,int4(32),FOREIGN KEY,,No,Yes
i2oretail_dev,brand_master,,parent_brand,int4(32),FOREIGN KEY,,No,Yes
i2oretail_dev,brand_master,,is_active,varchar(25),,'Yes'::character varying,No,Yes
i2oretail_dev,brand_master,,marketplace_ids,_int4,,,No,Yes
i2oretail_dev,brand_master,,brandalias,bytea,,,No,Yes
i2oretail_dev,brand_master,,potential_brand_id,int4(32),FOREIGN KEY,,No,Yes
i2oretail_dev,brand_violation_plugin_capture_,,id,int8(64),PRIMARY KEY,nextval('i2oretail_dev.brand_violation_plugin_capture_log_id_seq'::regclass),Yes,No
i2oretail_dev,brand_violation_plugin_capture_,,suspect_product_code,text,,,No,No
i2oretail_dev,brand_violation_plugin_capture_,,suspect_product_url,text,,,No,No
i2oretail_dev,brand_violation_plugin_capture_,,suspect_brand,text,,,No,No
i2oretail_dev,brand_violation_plugin_capture_,,master_product_code,text,,,No,Yes
i2oretail_dev,brand_violation_plugin_capture_,,violation_type,_text,,,No,No
i2oretail_dev,brand_violation_plugin_capture_,,tags,text,,,No,Yes
i2oretail_dev,brand_violation_plugin_capture_,,keywords,text,,,No,Yes
i2oretail_dev,brand_violation_plugin_capture_,,screenshot_gcs_url,text,,,No,Yes
i2oretail_dev,brand_violation_plugin_capture_,,captured_at,timestamptz,,now(),No,No
i2oretail_dev,brand_violation_plugin_capture_,,org_id,int4(32),,,No,Yes
i2oretail_dev,brand_violation_plugin_capture_,,reviewed_by,varchar(255),,,No,Yes
i2oretail_dev,brand_violations_filtered,i2o App Org ID,org_id,int4(32),,,No,Yes
i2oretail_dev,brand_violations_filtered,i2o App Org name,org_name,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,Platform e.g. Amazon,marketplace,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,Region e.g. US,region,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,Date of Reporting - YYYY-MM-DD,period,date,,,No,Yes
i2oretail_dev,brand_violations_filtered,Frequency of job E.g. weekly,reporting_range,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,Suspect Product Code,suspect_product_code,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,Suspect URL,suspect_url,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,Suspect Title,suspect_title,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,Suspect Brand,suspect_brand,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,Suspect Reseller Name,suspect_reseller_name,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,Master Product Code,product_code,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,Master Product URL,master_url,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,Master Brand,master_brand,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,Product Title,product_title,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,Product Tags,product_tags,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,Short Name,short_name,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,Category,category,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,Confidence Score for Violation,confidence_score,float8(53),,,No,Yes
i2oretail_dev,brand_violations_filtered,Comparison Difference,difference,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,"Violation Type E.g. Duplicate, Bundle, Trademark",violation_type,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,Is a Valid Detection - Yes or No,valid_detection,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,Corrected Master Product Code By RT Team,corrected_product_code,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,Comments Provided,comment,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,Name of the Reviewer,reviewed_by,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,DS Team Comments,ds_team_comments,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,Suspect Reseller URL,suspect_reseller_url,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,,corrected_asin,text,,,No,Yes
i2oretail_dev,brand_violations_filtered,,suspect_reseller_id,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,org_id,int4(32),,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,org_name,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,marketplace,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,region,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,period,date,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,reporting_range,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,suspect_product_code,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,suspect_url,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,suspect_title,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,suspect_brand,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,suspect_reseller_name,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,product_code,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,master_url,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,master_brand,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,product_title,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,product_tags,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,short_name,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,category,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,confidence_score,float8(53),,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,difference,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,violation_type,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,valid_detection,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,corrected_product_code,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,comment,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,reviewed_by,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_20250,,ds_team_comments,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,marketplace,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,region,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,product_code,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,master_url,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,short_name,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,period,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,reporting_range,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,org_name,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,master_brand,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,category,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,master_title,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,product_tags,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,violation_type,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,suspect_product_code,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,suspect_url,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,suspect_title,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,suspect_brand,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,suspect_reseller_name,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,suspect_reseller_url,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,comment,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,org_id,int4(32),,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,confidence_score,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,differences,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,reviewed_by,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,valid_detection,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_backu,,corrected_product_code,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,org_id,int4(32),,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,org_name,varchar,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,marketplace,varchar,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,region,varchar,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,period,date,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,reporting_range,varchar,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,suspect_product_code,varchar,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,suspect_url,varchar,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,suspect_title,varchar,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,suspect_brand,varchar,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,suspect_reseller_name,varchar,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,product_code,varchar,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,master_url,varchar,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,master_brand,varchar,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,product_title,varchar,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,product_tags,float8(53),,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,short_name,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,category,text,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,confidence_score,varchar,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,difference,varchar,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,violation_type,varchar,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,valid_detection,varchar,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,corrected_product_code,varchar,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,comment,varchar,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,reviewed_by,varchar,,,No,Yes
i2oretail_dev,brand_violations_filtered_stg,,suspect_reseller_url,text,,,No,Yes
i2oretail_dev,brand_violations_interactions,,suspect_product_code,text,PRIMARY KEY,,Yes,No
i2oretail_dev,brand_violations_interactions,,user_name,text,PRIMARY KEY,,Yes,No
i2oretail_dev,brand_violations_interactions,,violation_types,jsonb,,,No,Yes
i2oretail_dev,brand_violations_interactions,,selected_master_rank,int4(32),,,No,Yes
i2oretail_dev,brand_violations_interactions,,custom_master_url,text,,,No,Yes
i2oretail_dev,brand_violations_interactions,,action_taken,text,,,No,Yes
i2oretail_dev,brand_violations_interactions,,inconclusive,bool,,false,No,Yes
i2oretail_dev,brand_violations_interactions,,partial_match,bool,,false,No,Yes
i2oretail_dev,brand_violations_interactions,,notes,text,,,No,Yes
i2oretail_dev,brand_violations_interactions,,updated_at,timestamptz,,CURRENT_TIMESTAMP,No,Yes
i2oretail_dev,brand_violations_interactions,,created_at,timestamptz,,CURRENT_TIMESTAMP,No,Yes
i2oretail_dev,brand_violations_interactions,,follow_up_required,bool,,false,No,Yes
i2oretail_dev,brand_violations_review,,suspect_product_code,text,,,No,No
i2oretail_dev,brand_violations_review,,org_id,int4(32),,,No,No
i2oretail_dev,brand_violations_review,,org_name,text,,,Yes,No
i2oretail_dev,brand_violations_review,,marketplace,text,,,No,No
i2oretail_dev,brand_violations_review,,region,text,,,No,No
i2oretail_dev,brand_violations_review,,period,date,,,Yes,No
i2oretail_dev,brand_violations_review,,reporting_range,text,,,No,No
i2oretail_dev,brand_violations_review,,product_code,text,,,No,No
i2oretail_dev,brand_violations_review,,master_url,text,,,No,No
i2oretail_dev,brand_violations_review,,master_brand,text,,,No,No
i2oretail_dev,brand_violations_review,,product_title,text,,,No,No
i2oretail_dev,brand_violations_review,,suspect_url,text,,,No,No
i2oretail_dev,brand_violations_review,,suspect_title,text,,,No,No
i2oretail_dev,brand_violations_review,,suspect_brand,text,,,No,No
i2oretail_dev,brand_violations_review,,suspect_images,text,,,No,Yes
i2oretail_dev,brand_violations_review,,suspect_reseller_name,text,,,No,Yes
i2oretail_dev,brand_violations_review,,confidence_score,float8(53),,,No,No
i2oretail_dev,brand_violations_review,,difference,text,,,No,Yes
i2oretail_dev,brand_violations_review,,valid_detection,bool,,,No,No
i2oretail_dev,brand_violations_review,,violation_type,text,,,No,Yes
i2oretail_dev,brand_violations_review,,corrected_product_code,text,,,No,Yes
i2oretail_dev,brand_violations_review,,top_5_masters,text,,,No,No
i2oretail_dev,brand_violations_review,,comment,text,,,No,Yes
i2oretail_dev,brand_violations_review,,reviewed_by,text,,,No,Yes
i2oretail_dev,brand_violations_review,,priority_flag,bool,,false,No,Yes
i2oretail_dev,brand_violations_review,,master_asin_1,text,,,No,Yes
